fase,config,context_recall,context_precision,context_entity_recall,faithfulness,answer_relevancy,noise_sensitivity(mode=relevant),P+R
Reranking,ce k10,0.7563,0.4466,0.3894,0.9505,0.6502,0.4082,1.2029
Reranking,ce k5,0.7083,0.4791,0.3739,0.9241,0.5557,0.4033,1.1874
Reranking,llm k10,0.721,0.4627,0.4414,0.8896,0.5786,0.4324,1.1837
Reranking,llm k5,0.6655,0.4881,0.3809,0.9011,0.5729,0.381,1.1536
Retrieval,mmr k10,0.7107,0.3829,0.3766,0.8985,0.5898,0.4294,1.0935
Retrieval,cosine k10,0.6437,0.4063,0.386,0.9045,0.5752,0.3923,1.0499
Query expansion,multiquery,0.665,0.3822,0.3889,0.8782,0.5815,0.4223,1.0472
Query expansion,rag_fusion,0.65,0.3646,0.3585,0.9176,0.5146,0.3866,1.0146
Query expansion,stepback,0.654,0.349,0.3408,0.8949,0.5441,0.339,1.003
Embeddings,bge-m3,0.583,0.4157,0.3838,0.8808,0.5614,0.4655,0.9987
Chunking,sentence,0.615,0.3777,0.3615,0.8701,0.4603,0.4052,0.9927
Query expansion,rewrite,0.6327,0.3541,0.3539,0.9375,0.5676,0.4076,0.9867
Chunking,structural+pc,0.5903,0.3675,0.3484,0.849,0.4381,0.4199,0.9579
Query expansion,decomposition,0.6597,0.2826,0.3825,0.9193,0.5933,0.4195,0.9423
Retrieval,bm25 k10,0.656,0.258,0.3835,0.8259,0.4025,0.4089,0.914
Chunking,fixed 512,0.58,0.3332,0.3557,0.8052,0.4785,0.4254,0.9132
Chunking,semantic,0.5937,0.2973,0.3463,0.866,0.4619,0.4709,0.891
Embeddings,qwen3-8b,0.5023,0.3865,0.3084,0.8655,0.4561,0.3529,0.8888
Retrieval,hybrid k10,0.614,0.2718,0.3689,0.8447,0.5655,0.3779,0.8858
Query expansion,hyde,0.5983,0.2473,0.3358,0.8767,0.5593,0.3968,0.8456
Query expansion,selfquery,0.4847,0.3383,0.2355,0.81,0.4377,0.3537,0.823
Embeddings,snowflake-arctic-l,0.4627,0.3121,0.3252,0.843,0.4559,0.3585,0.7747
Baseline,baseline,0.4527,0.3037,0.3237,0.8333,0.4226,0.39,0.7564
Chunking,structural,0.4473,0.2814,0.3235,0.891,0.4601,0.3842,0.7288
